chapter_var|verse_num|hebrew_word|transliteration_gloss
---
ch10Verses|ט|עֲבָרָה|Abarah
ch16Verses|יג|שָׁזֵר|Shazer
ch16Verses|יד|שָׁזֵר|Shazer
jc_ch1Verses|יג|יוֹסֵפִים|Josephites
jc_ch1Verses|יג|לְמוּאֵלִים|Lemuelites
mo_ch3Verses|ח|מִרְיָם|Mary
mo_ch12Verses|לג|סִינַי|Sinai
mo_ch13Verses|ה|סִינַי|Sinai
et_ch1Verses|יא|וְשֵׁת|Osht
et_ch1Verses|יד|וְכוֹרִיַנְטוּם|Okorintom
et_ch1Verses|טו|וְעַמְנִיגַדָּה|Omnigdh
et_ch1Verses|יז|וְהֶאַרְתוֹם|Ohrtom
et_ch1Verses|יט|וְקִישׁ|Okish
et_ch1Verses|כ|וְכּוֹרוֹם|Okorom
et_ch1Verses|כא|וְלֵוִי|Oloi
et_ch1Verses|כב|וְקִים|Okim
et_ch1Verses|כג|וּמוֹרִיַנְטוֹן|Omorinton
et_ch1Verses|כח|וְכּוֹרִיַנְטוּם|Okorintom
et_ch1Verses|לב|וְקִיב|Okib
et_ch1Verses|לב|בֶן־אוֹרִיהָה|Vnorihh
et_ch1Verses|לב|בֶן־יָרֶד׃|Vnird
et_ch1Verses|לג|יְפִיצֵם|Ipitsm
et_ch1Verses|לד|יִבְלֹל|Ibll
et_ch1Verses|לד|נָבִין|Nbin
et_ch1Verses|לה|בָלַל|Vll
et_ch1Verses|לו|יִבְלֹל|Ibll
et_ch1Verses|לח|יוֹבִילֵנוּ|Iobilno
et_ch1Verses|מג|וַאֲקִים|Okim
et_ch2Verses|ב|דְּגֵי|Dgi
et_ch2Verses|ג|דְּבוֹרַת|Dbort
et_ch2Verses|ג|דְבוֹרִים|Dborim
et_ch2Verses|ה|יִסָּעוּ׃|Iso
et_ch2Verses|ו|בָהֶן|Vhn
et_ch2Verses|ו|מוּדְרָכִים|Modrkim
et_ch2Verses|י|הַיּוֹרֵשׁ|Hiorsh
et_ch2Verses|יג|מוֹרִיאַנְקוּמֶר|Morinkomr
et_ch2Verses|טז|וּבְנֵה|Obnh
et_ch2Verses|טז|וְקַלּוֹת|Oklot
et_ch2Verses|יז|יַחְזִיקוּ|Ichziko
et_ch2Verses|יז|וְדָפְנֵיהֶן|Odpnihn
et_ch2Verses|יז|וְקְצוֹתֵיהֶן|Oktsotihn
et_ch2Verses|יח|צִוִּיתָנִי|Tsoitni
et_ch2Verses|יח|הוֹרֵיתָנִי׃|Horitni
et_ch2Verses|יט|נִגְוַע|Ngo
et_ch2Verses|יט|בְּתוֹכָן|Btokn
et_ch2Verses|יט|נִגְוָע׃|Ngo
et_ch2Verses|כ|חֹר|Chr
et_ch2Verses|כ|תִגְוְעוּ|Tgoo
et_ch2Verses|כב|צִוִּיתָנִי|Tsoitni
et_ch2Verses|כב|הֲכִינוֹתִי|Hkinoti
