count	volume	first_ref	form	gloss	proposed_root	rule	root_meaning
16	BOM/D&C/PGP	BOM 1nephi 13:32	לְהִשָּׁאֵר	to remain	שאר	strong	(שָׁאַר) to remain, be left; (שְׁאָר) remnan
16	NT/D&C	NT john 13:20	וְהַמְקַבֵּל	and he that receives	קבל	strong	(קִבֵּל) to receive, accept
16	D&C	D&C dc101_110 1:39	ק.	K.		(no analysis)	
14	BOM/NT/D&C	BOM alma 34:39	מַזְהִיר	beseech	זהר	strong	(הִזְהִיר) to warn, admonish, exhort; (זֹהַר
14	D&C	D&C dc101_110 1:3	הַסַּנְהֶדְרִין	the council,		(no analysis)	
13	NT	NT acts 23:24	הַהֶגְמוֹן	the-governor	הגה	heuristic	(הָגָה) to utter, ponder, meditate
10	BOM	BOM 1nephi 6:3	לְהִכָּתֵב	be written	כתב	strong	(כָּתַב) to write; (כְּתָב) writing, record,
10	NT	NT 1co 3:21	שֶׁלָּכֶם	that-you	כומ	hollow	
9	BOM/NT/D&C/PGP	BOM 2nephi 5:9	לְהִקָּרֵא	to be called	קרא	strong	(קָרָא) to call, proclaim, read; (מִקְרָא) c
9	NT	NT 1co 1:2	שֶׁלָּהֶם	their	להמ	strong	burn in
8	BOM	BOM jacob 5:7	אֶת־הָעֲנָפִים	the branches	ענפ	heuristic	(עָנָף) branch
7	BOM/NT	BOM 1nephi 15:13	הָעֲנָפִים	the branches	ענפ	heuristic	(עָנָף) branch
7	BOM	BOM 3nephi 2:19	לִפֹּל	to fall	נפל	I-nun (dagesh)	to fall, fall down
7	BOM	BOM 3nephi 6:15	לְהָסִית	to stir up	סות	hollow (mater)	to entice, incite, stir up
7	NT/PGP	NT john 18:27	הַתַּרְנְגוֹל	the cock		(no analysis)	
7	D&C	D&C dc121_130 1:23	וְיַכְרִיזוּ	and declare	כרז	heuristic	(הִכְרִיז) to proclaim
6	BOM	BOM 3nephi 1:27	לְהִתְגַּבֵּר	to overpower	גבר	strong	to be strong, prevail; mighty man
6	BOM/D&C	BOM 3nephi 1:29	לְהִתְחַבֵּר	to combine	חבר	strong	(חָבַר) to join, unite; (חָבֵר) companion; (
6	BOM/D&C	BOM 3nephi 3:2	כּוֹתֵב	write	יתב	I-yod (vav for yod)	sit
6	BOM/D&C	BOM 3nephi 5:9	הַמְכִילִים	which contain		(no analysis)	
6	BOM	BOM alma 30:27	יָעֵזּוּ	they durst not	יעז	strong	bold
6	BOM/D&C	BOM helaman 6:18	נוֹסַד	was instituted	יסד	I-yod (vav for yod)	to found, establish, lay a foundation
6	BOM/NT	BOM moroni 10:3	אַזְהִיר	I would exhort	זהר	strong	(הִזְהִיר) to warn, admonish, exhort; (זֹהַר
6	OT/NT/D&C	OT isa 30:6	אֶפְעֶה	a-viper	פעה	strong	scream
6	NT	NT 2ti 1:2	הֶחָבִיב	the-beloved	חבב	strong	(חָבַב) to cherish
6	NT/D&C	NT acts 8:7	וּפִסְחִים	and the lame	פסח	heuristic	(פֶּסַח) passover; (פִּסֵּחַ) lame
6	NT	NT acts 13:40	הַנֶּאֱמָר	which was spoken	אמר	strong	(אָמַר) to say, speak; (לֵאמֹר) saying; (אֵמ
6	NT/D&C	NT luke 9:44	לְהִמָּסֵר	to be delivered	מסר	strong	(מָסַר) to deliver, commit
5	BOM/D&C	BOM 1nephi 15:35	לְהִשָּׁלֵךְ	to be cast out	שלכ	strong	throw
5	BOM	BOM 2nephi 1:2	בְּהַצִּילוֹ	in delivering	צול	hollow (mater)	
5	BOM/NT	BOM 2nephi 3:17	בְּדִבּוּר	in-word	דבר	strong	(דִּבֶּר) to speak; (דָּבָר) word, thing; (ד
5	BOM/NT	BOM 2nephi 25:23	בִּשְׁקִידָה	with care	שקד	strong	(שָׁקַד) to watch; (שָׁקֵד) almond
5	BOM	BOM 2nephi 28:9	לְהַסְתִּיר	to hide	סתר	strong	to hide, conceal; secret
5	BOM	BOM 3nephi 1:4	לְהִמָּלֵא	to be fulfilled	מלא	strong	(מָלֵא) to fill, be full; (מְלֹא) fulness
5	BOM/NT/D&C	BOM 3nephi 1:30	עֻנּוּ	were afflicted	ענו	strong	did we heed
5	BOM	BOM 3nephi 2:12	וַיֵּאָנְסוּ	and they were compelled	אנס	strong	insist
5	BOM/NT/PGP	BOM 3nephi 3:21	נָכִין	we may prepare	כונ	hollow (mater)	prepare
5	BOM/NT/D&C	BOM 3nephi 8:19	הָרְעָמִים	thunders	רעה	heuristic	(רַעְיָה) my love; (מִרְעֶה) pasture
5	BOM/NT	BOM 3nephi 19:25	כִּפְנֵי	as the countenance of	פנה	lamed-yod (yod hides the he)	face, presence; to turn
5	BOM/NT/D&C	BOM 3nephi 26:21	הַנִּטְבָּלִים	those who were baptized		(no analysis)	
5	BOM/D&C	BOM 4nephi 1:37	הָאֲמִתִּיִּים	the true	אמנ	heuristic	trust
5	BOM/D&C/PGP	BOM alma 5:62	שֻׁתָּפִים	partakers	פימ	strong	
5	BOM	BOM alma 24:26	מִמִּסְפַּר	than the number of	ספר	strong	(סִפֵּר) to tell, recount; (סָפַר) to count;
5	BOM/NT/PGP	BOM alma 26:13	הִתִּיר	loosed	תור	hollow (mater)	(תּוּר) to spy out, search
5	BOM	BOM alma 37:41	בְּמַסָּעָם	in their journey	נסע	heuristic	to pull up, set out, journey
5	BOM	BOM alma 39:6	לְהִסָּלַח	to obtain	סלח	strong	to forgive, pardon
5	BOM/D&C	BOM alma 42:19	נִתֶּנֶת	given	נתנ	I-nun (dagesh)	put
5	BOM/D&C	BOM helaman 7:5	לִנְאֹף	to commit adultery	נאפ	strong	commit adultery
5	OT/NT/PGP	OT sos 1:6	שֶׁלִּי	which to me	שלה	lamed-yod (yod hides the he)	dominion
5	NT/D&C	NT 1co 9:24	הַנִּצָּחוֹן	the-victory	צחנ	strong	
5	NT	NT heb 3:15	שֶׁנֶּאֱמַר	while-it-is-said	אמר	strong	(אָמַר) to say, speak; (לֵאמֹר) saying; (אֵמ
5	NT/D&C	NT john 19:16	לְהִצָּלֵב	to be crucified.	צלב	strong	(צְלָב) cross; (צָלַב) to crucify
5	NT	NT luke 14:3	הֲמֻתָּר	Is it lawful	נתר	I-nun (dagesh)	(הִתִּיר) to loose, unloose — Ps 146:7 מַתִּ
5	NT/PGP	NT luke 21:26	יִתְמוֹטָטוּ	shall be shaken.		(no analysis)	
5	NT/D&C	NT matt 5:22	לְסַנְהֶדְרִין	to the council of		(no analysis)	
5	D&C	D&C dc101_110 1:17	ו׳	W.		(no analysis)	
5	D&C/PGP	D&C dc11_20 1:26	בְּאֶמְצַע	in the meridian of	מצע	heuristic	couch
5	D&C	D&C dc11_20 1:64	הַנִּסְמָךְ	he that is ordained	סמכ	strong	prop
5	D&C	D&C od 1:16	…	…		(no analysis)	
4	BOM	BOM 1nephi 7:21	בְּמַסָּעֵנוּ	on our journey	נסע	I-nun (dagesh)	to pull up, set out, journey
4	BOM	BOM 1nephi 16:19	מִמַּסָּעָם	because of their march	נסע	heuristic	to pull up, set out, journey
4	BOM/NT/D&C	BOM 2nephi 1:28	אַנִּיחַ	I leave	נוח	hollow (mater)	(נוּחַ) to rest; (מָנוֹחַ) resting place; Ma
4	BOM/NT	BOM 2nephi 9:28	תוֹעִיל	does it profit	יעל	I-yod (vav for yod)	(יָעֵל) Jael; (הוֹעִיל) to profit
